,Fund,Cat. Average,Index
Price/Earnings ,16.90,20.30,17.09
Price/Book ,3.45,2.56,3.38
Price/Sales ,2.34,2.04,1.97
Price/Cash Flow ,7.45,11.25,13.35
Dividend Yield % ,0.20,0.89,1.91
Long-Term Earnings % ,17.51,10.45,9.35
Historical Earnings % ,24.99,15.68,13.99
Sales Growth % ,15.14,9.13,5.37
Cash-Flow Growth % ,21.03,2.14,-2.79
Book-Value Growth % ,4.90,7.67,3.73
