,Values
NAV,"16,566.58"
Open Price,"16,610.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,465.0 / 431.1
Day Range,"16,340.00 – 16,610.00"
Year Range,"14,750.00 – 18,480.00"
SEC Yield ,—
12-Month Yield ,3.69%
Premium ,—
Expense Ratio,0.600%
Total Assets,7.5 Bil
