Sectors,Fund %,Category %
Basic Materials,0.00,4.14
Consumer Cyclical,3.72,17.57
Financial Services,47.93,24.64
Real Estate,10.15,4.51
Communication Services,10.43,1.04
Energy,11.65,1.90
Industrials,1.52,9.90
Technology,13.00,15.66
Consumer Defensive,0.00,12.57
Healthcare,1.60,6.89
Utilities,0.00,1.19
