,Fund,Cat. Average,Index
Price/Earnings ,8.74,12.50,9.92
Price/Book ,1.22,1.82,1.26
Price/Sales ,1.31,1.42,1.10
Price/Cash Flow ,2.99,6.00,3.71
Dividend Yield % ,4.13,2.83,3.51
Long-Term Earnings % ,9.09,9.55,8.64
Historical Earnings % ,10.16,13.10,9.92
Sales Growth % ,9.46,10.48,9.83
Cash-Flow Growth % ,7.09,16.38,10.51
Book-Value Growth % ,7.21,9.29,8.65
