,Fund,Cat. Average,Index
Price/Earnings ,23.48,13.31,—
Price/Book ,2.10,0.99,—
Price/Sales ,1.54,0.52,—
Price/Cash Flow ,8.39,3.85,—
Dividend Yield % ,0.23,2.16,—
Long-Term Earnings % ,31.84,15.19,—
Historical Earnings % ,7.10,35.81,—
Sales Growth % ,-5.95,2.99,—
Cash-Flow Growth % ,-12.40,2.81,—
Book-Value Growth % ,5.27,1.55,—
