,Values
NAV,"4,810.10"
Open Price,"4,830.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"11,127.0 / 21,482.3"
Day Range,"4,790.00 – 4,835.00"
Year Range,"4,400.00 – 8,090.00"
SEC Yield ,—
12-Month Yield ,0.38%
Premium ,—
Expense Ratio,0.550%
Total Assets,3.6 Bil
