,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.26,4.73,-8.72,-17.82,-13.55,-1.51,0.02,—,—,—,—
Total Return % (NAV),-2.10,4.71,-16.90,-24.21,-27.13,-30.60,-6.68,—,—,—,-10.58
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
