,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-19.69,5.00
Fund (NAV),—,—,—,—,—,—,—,—,—,-19.80,6.00
+/ Category (NAV),—,—,—,—,—,—,—,—,—,-3.12,10.77
+/- Index (Price),—,—,—,—,—,—,—,—,—,-2.06,4.34
Percentile Rank,—,—,—,—,—,—,—,—,—,85,2
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,325"
