,Fund,Cat. Average,Index
Price/Earnings ,3.17,11.02,12.13
Price/Book ,0.91,0.84,0.86
Price/Sales ,0.43,0.53,0.65
Price/Cash Flow ,2.64,3.46,3.66
Dividend Yield % ,2.42,3.08,3.48
Long-Term Earnings % ,39.12,10.07,3.69
Historical Earnings % ,48.26,15.26,14.88
Sales Growth % ,9.23,11.25,4.89
Cash-Flow Growth % ,26.87,16.83,15.05
Book-Value Growth % ,10.98,10.86,8.56
