,Values
NAV,"8,956.35"
Open Price,"8,960.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"100.0 / 6,380.8"
Day Range,"8,905.00 – 8,975.00"
Year Range,"7,875.00 – 9,965.00"
SEC Yield ,—
12-Month Yield ,0.09%
Premium ,—
Expense Ratio,0.230%
Total Assets,67.2 Bil
