,Values
Sustainability Rate,High
Percent Rank in Global Category,1%
Historical Sustainability Score,48.30
Global Category,Korea Equity
Portfolio ESG,55.24
Controversy Deduction,5.60
Sustainability Score,49.64
Sustainability Mandate,No
