,Values
NAV,"11,153.36"
Open Price,"11,050.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"519,000.0 / 34,450.3"
Day Range,"10,965.00 – 11,080.00"
Year Range,"10,915.00 – 13,710.00"
SEC Yield ,—
12-Month Yield ,1.59%
Premium ,—
Expense Ratio,0.450%
Total Assets,14.1 Bil
