,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,-5.73,-4.07,12.52,30.36,-19.22,-6.94
Fund (NAV),—,—,—,—,—,-5.80,-3.93,13.10,30.04,-19.34,-5.28
+/ Category (NAV),—,—,—,—,—,-0.72,-7.94,12.41,7.56,-2.66,-0.51
+/- Index (Price),—,—,—,—,—,1.43,-1.25,-1.30,-1.87,-1.59,-7.60
Percentile Rank,—,—,—,—,—,44,90,1,7,82,61
# of Funds in Category,—,—,—,—,"1,779","1,796","2,103","2,012","2,058","2,015","2,325"
