Sectors,Fund %,Category %
Basic Materials,5.05,8.70
Consumer Cyclical,2.69,13.65
Financial Services,6.74,11.56
Real Estate,0.00,0.29
Communication Services,0.00,2.34
Energy,0.00,1.96
Industrials,20.01,10.46
Technology,53.48,38.20
Consumer Defensive,7.86,6.64
Healthcare,4.18,4.97
Utilities,0.00,1.23
