,Fund,Cat. Average,Index
Price/Earnings ,9.10,11.02,12.13
Price/Book ,0.89,0.84,0.86
Price/Sales ,0.60,0.53,0.65
Price/Cash Flow ,3.66,3.46,3.66
Dividend Yield % ,3.01,3.08,3.48
Long-Term Earnings % ,13.64,10.07,3.69
Historical Earnings % ,13.66,15.26,14.88
Sales Growth % ,2.13,11.25,4.89
Cash-Flow Growth % ,10.85,16.83,15.05
Book-Value Growth % ,6.43,10.86,8.56
