,Values
NAV,"8,331.92"
Open Price,"8,350.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"6,592.0 / 55,259.5"
Day Range,"8,305.00 – 8,375.00"
Year Range,"8,190.00 – 9,660.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.090%
Total Assets,446.2 Bil
