,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.14,-0.42,-7.15,-5.77,-3.00,-10.67,—,—,—,—,—
Total Return % (NAV),0.20,-0.71,-6.32,-5.81,-1.99,-10.80,—,—,—,—,-13.53
+/- Category (NAV),0.15,-0.53,0.71,2.15,2.79,2.93,—,—,—,—,—
+/- Index (NAV),-0.12,-0.07,-0.36,-1.34,-2.65,-0.41,—,—,—,—,—
