,Fund,Cat. Average,Index
Price/Earnings ,18.12,11.02,12.13
Price/Book ,2.67,0.84,0.86
Price/Sales ,2.06,0.53,0.65
Price/Cash Flow ,9.02,3.46,3.66
Dividend Yield % ,0.63,3.08,3.48
Long-Term Earnings % ,25.32,10.07,3.69
Historical Earnings % ,5.22,15.26,14.88
Sales Growth % ,-2.74,11.25,4.89
Cash-Flow Growth % ,-22.48,16.83,15.05
Book-Value Growth % ,9.49,10.86,8.56
