,Values
NAV,"4,273.93"
Open Price,"4,240.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,558.0 / 7,405.7"
Day Range,"4,240.00 – 4,280.00"
Year Range,"3,910.00 – 6,415.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.160%
Total Assets,47.5 Bil
