,Fund,Category,Index
U.S.Stock,—,7.46,17.91
Non-U.S.Stock,—,12.13,12.05
Bonds,—,64.09,0.00
Other,—,5.51,70.00
Cash,—,93.85,0.00
Not Classified,—,3.47,0.03
