,Values
NAV,"10,221.41"
Open Price,"10,230.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"84,606.0 / 59,036.8"
Day Range,"10,210.00 – 10,235.00"
Year Range,"10,085.00 – 10,250.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.240%
Total Assets,40.9 Bil
