운용사,유동성공급자(LP),종목명,기초지수명,순자산규모(억원),최초설정일,상장일
삼성자산운용,"미래에셋대우, 한국증권, SK증권, 하이증권",KODEX 콩선물(H),S&P GSCI Soybeans Index(TR),"84","2011/03/11","2011/03/15"
키움투자자산운용,"신한투자, 미래에셋대우, 메리츠, KB증권, 리딩투자",KOSEF 미국달러선물인버스,미국달러선물지수,"105","2011/03/31","2011/04/01"
미래에셋자산운용,"삼성증권, 미래에셋대우, 한국증권, 유안타증권, 하나금융투자, NH투자증권, KB증권, 한화투자, 메리츠",TIGER 200 건설,코스피 200 건설,"136","2011/04/05","2011/04/06"
미래에셋자산운용,"삼성증권, 미래에셋대우, 한국증권, 메리츠, 유안타증권, 하나금융투자, NH투자증권, KB증권, 한화투자",TIGER 200 중공업,코스피 200 중공업,"137","2011/04/05","2011/04/06"
미래에셋자산운용,"삼성증권, 미래에셋대우, 한국증권, 메리츠, 유안타증권, NH투자증권, KB증권, 한화투자",TIGER 200 철강소재,코스피 200 철강/소재,"307","2011/04/05","2011/04/06"
미래에셋자산운용,"삼성증권, 미래에셋대우, NH투자증권, 한화투자, 메리츠, 유안타증권, 하나금융투자, KB증권",TIGER 200 에너지화학,코스피 200 에너지/화학,"394","2011/04/05","2011/04/06"
미래에셋자산운용,"삼성증권, 키움증권, 미래에셋대우, 한화투자, 메리츠, 유안타증권, 하나금융투자, 하이증권, NH투자증권, KB증권",TIGER 200 IT,코스피 200 정보기술,"2,363","2011/04/05","2011/04/06"
미래에셋자산운용,"삼성증권, 미래에셋대우, NH투자증권, 메리츠, 유안타증권, KB증권",TIGER 200 금융,코스피 200 금융,"288","2011/04/05","2011/04/06"
미래에셋자산운용,"미래에셋대우, NH투자증권, 메리츠, 유안타증권, 하나금융투자, KB증권, 키움증권",TIGER 경기방어,코스피 200 경기방어소비재,"1,589","2011/04/05","2011/04/06"
미래에셋자산운용,"삼성증권, 미래에셋대우, 메리츠, 유안타증권, NH투자증권, KB증권",TIGER 200 경기소비재,코스피 200 경기소비재,"82","2011/04/05","2011/04/06"
미래에셋자산운용,"미래에셋대우, 하이증권, 신한투자, 한국증권",TIGER 금속선물(H),S&P GSCI Industrial Metals Select Index(TR),"30","2011/04/07","2011/04/08"
미래에셋자산운용,"미래에셋대우, 하이증권, 한국증권",TIGER 금은선물(H),S&P GSCI Precious Metals Index(TR),"47","2011/04/07","2011/04/08"
케이비자산운용,"키움증권, 미래에셋대우, KB증권, 삼성증권",KBSTAR 중기우량회사채,KOBI 크레딧 지수(총수익),"837","2011/04/11","2011/04/15"
케이비자산운용,"NH투자증권, 삼성증권, 유진증권, KB증권, 키움증권",KBSTAR 우량업종,MKF 우량업종대표주 지수,"58","2011/04/14","2011/04/15"
케이비자산운용,"NH투자증권, 삼성증권, 유진증권, KB증권, 키움증권",KBSTAR 수출주,MKF 수출주 지수,"53","2011/04/14","2011/04/15"
삼성자산운용,"키움증권, 메리츠, NH투자증권",KODEX 운송,KRX 운송,"21","2011/04/25","2011/04/26"
삼성자산운용,"키움증권, 메리츠, KB증권, 하이증권, NH투자증권",KODEX 보험,KRX 보험,"87","2011/04/25","2011/04/26"
교보악사자산운용,"유진증권, NH투자증권, KB증권, 하이증권, 리딩투자, 미래에셋대우",파워 코스피100,코스피 100,"110","2011/04/28","2011/05/03"
한국투자신탁운용,"미래에셋대우, 메리츠, KB증권, 키움증권, NH투자증권",KINDEX 밸류대형,FnGuide-RAFI 코리아 대형 지수,"172","2011/06/20","2011/06/21"
미래에셋자산운용,"신한투자, 한국증권, 미래에셋대우, NH투자증권, 메리츠, 키움증권",TIGER 미국S&P500선물(H),S&P 500 Futures Index(ER),"1,104","2011/07/15","2011/07/18"
미래에셋자산운용,"미래에셋대우, 하이증권, NH투자증권, 메리츠, KB증권, 하나금융투자, 부국증권, 유안타증권, 키움증권",TIGER 헬스케어,KRX 헬스케어,"1,074","2011/07/15","2011/07/18"
삼성자산운용,"유진증권, 삼성증권, 한국증권, 하이증권",KODEX 은선물(H),S&P GSCI Silver Index(TR),"305","2011/07/14","2011/07/18"
한국투자신탁운용,"NH투자증권, KB증권, 리딩투자, 하나금융투자, 이베스트, 유진증권",KINDEX 인버스,코스피 200 선물지수,"51","2011/09/07","2011/09/08"
