,Values
NAV,"26,373.09"
Open Price,"26,210.00"
Bid / Ask / Spread,"25,690.00 / 25,695.00 / 0.02%"
Volume / Avg,15.9 Mil / 5.6 Mil
Day Range,"25,730.00 – 26,500.00"
Year Range,"25,730.00 – 30,370.00"
SEC Yield ,—
12-Month Yield ,2.27%
Premium ,—
Expense Ratio,0.160%
Total Assets,5.9 Tril
