,Values
NAV,"8,538.14"
Open Price,"8,500.00"
Bid / Ask / Spread,"8,500.00 / 0.00 / 0.00%"
Volume / Avg,"163,993.0 / 332,951.8"
Day Range,"8,500.00 – 8,635.00"
Year Range,"6,365.00 – 9,200.00"
SEC Yield ,—
12-Month Yield ,1.13%
Premium ,—
Expense Ratio,0.890%
Total Assets,225.4 Bil
