,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,17.58,-24.86,28.84
Fund (NAV),—,—,—,—,—,—,14.31,-12.68,17.02,-24.65,31.33
+/ Category (NAV),—,—,—,—,—,—,11.35,-3.45,-14.44,-3.03,14.17
+/- Index (Price),—,—,—,—,—,—,—,—,-17.80,-14.05,22.25
Percentile Rank,—,—,—,—,—,—,16,67,85,67,9
# of Funds in Category,—,—,—,—,—,422,526,636,734,890,938
