,Values
NAV,"9,004.79"
Open Price,"9,060.00"
Bid / Ask / Spread,"0.00 / 9,250.00 / 0.00%"
Volume / Avg,"5,700.0 / 7,791.7"
Day Range,"9,035.00 – 9,095.00"
Year Range,"7,640.00 – 9,250.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.180%
Total Assets,5.5 Bil
