,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,-9.28,1.02,10.01,0.82,-8.01,-20.40,21.54,3.65
Fund (NAV),—,—,—,-9.49,1.25,10.30,0.66,-8.24,-20.52,21.88,2.50
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,—
Percentile Rank,—,—,—,—,—,—,—,—,—,—,—
# of Funds in Category,—,—,—,—,—,—,—,—,—,—,—
