,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-98.81,98.81,0.00,5.39,—
Bonds,13.34,0.00,13.34,12.48,—
Other,0.02,0.00,0.02,19.44,—
Cash,185.45,0.65,186.10,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
