,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.06,0.17,7.89,6.62,3.65,13.12,-0.74,0.18,—,—,—
Total Return % (NAV),-0.08,0.59,6.94,6.35,2.50,13.13,-1.07,-0.12,—,—,-1.28
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
