,Values
NAV,"12,982.16"
Open Price,"13,045.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,155.0 / 3,819.8"
Day Range,"12,620.00 – 13,045.00"
Year Range,"11,260.00 – 19,655.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.710%
Total Assets,6.5 Bil
