,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,148.60,0.00,148.60,620.20,—
Bonds,0.00,0.00,0.00,8.78,—
Other,26.83,0.05,26.88,3.73,—
Cash,-75.43,185.42,109.99,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
