,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.93,-1.55,-11.75,-7.64,0.12,-21.73,8.48,4.09,—,—,—
Total Return % (NAV),0.02,-0.04,-9.26,-6.32,2.19,-23.58,9.26,4.66,—,—,5.15
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
