,Values
NAV,"16,157.20"
Open Price,"16,270.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,622.0 / 220,064.5"
Day Range,"16,130.00 – 16,270.00"
Year Range,"15,810.00 – 16,270.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.323%
Total Assets,10.3 Bil
