,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.52,—,—,—,—,—,—,—,—,—,—
Total Return % (NAV),0.23,—,—,—,—,—,—,—,—,—,1.44
+/- Category (NAV),-0.65,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),0.23,—,—,—,—,—,—,—,—,—,—
