,Values
NAV,"104,197.29"
Open Price,"104,225.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"246.0 / 1,422.4"
Day Range,"104,210.00 – 104,225.00"
Year Range,"101,750.00 – 104,225.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.160%
Total Assets,27.7 Bil
