,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,2.60,-4.72,0.94,-10.10,23.87,11.27,-25.13,-11.78
Fund (NAV),—,—,—,3.01,-4.62,0.66,-9.89,24.32,10.81,-25.09,-11.61
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,—
Percentile Rank,—,—,—,—,—,—,—,—,—,—,—
# of Funds in Category,—,—,—,—,—,—,—,—,—,—,—
