,Fund,Cat. Average,Index
Price/Earnings ,10.06,13.31,—
Price/Book ,0.50,0.99,—
Price/Sales ,0.30,0.52,—
Price/Cash Flow ,3.74,3.85,—
Dividend Yield % ,1.82,2.16,—
Long-Term Earnings % ,6.82,15.19,—
Historical Earnings % ,-11.54,35.81,—
Sales Growth % ,4.07,2.99,—
Cash-Flow Growth % ,-1.60,2.81,—
Book-Value Growth % ,2.13,1.55,—
