,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,8.15,—
Non-U.S.Stock,98.84,0.00,98.84,79.51,—
Bonds,0.00,0.00,0.00,0.07,—
Other,0.00,0.00,0.00,0.89,—
Cash,1.16,1.73,2.89,24.83,—
Not Classified,0.00,0.00,0.00,0.06,—
