,Values
NAV,"6,943.06"
Open Price,"6,890.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1.0 / 1,090.0"
Day Range,"6,890.00 – 6,890.00"
Year Range,"6,675.00 – 9,115.00"
SEC Yield ,—
12-Month Yield ,2.04%
Premium ,—
Expense Ratio,0.440%
Total Assets,27.9 Bil
