,Fund,Cat. Average,Index
Price/Earnings ,9.11,11.02,12.13
Price/Book ,0.69,0.84,0.86
Price/Sales ,0.39,0.53,0.65
Price/Cash Flow ,3.16,3.46,3.66
Dividend Yield % ,3.88,3.08,3.48
Long-Term Earnings % ,12.13,10.07,3.69
Historical Earnings % ,3.57,15.26,14.88
Sales Growth % ,2.32,11.25,4.89
Cash-Flow Growth % ,-5.25,16.83,15.05
Book-Value Growth % ,3.95,10.86,8.56
