Sectors,Fund %,Category %
Basic Materials,10.54,8.70
Consumer Cyclical,16.68,13.65
Financial Services,31.96,11.56
Real Estate,0.00,0.29
Communication Services,5.07,2.34
Energy,7.41,1.96
Industrials,12.97,10.46
Technology,5.72,38.20
Consumer Defensive,3.87,6.64
Healthcare,0.00,4.97
Utilities,5.77,1.23
