,Values
NAV,"10,763.64"
Open Price,"10,845.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"164,962.0 / 39,208.2"
Day Range,"10,740.00 – 10,845.00"
Year Range,"10,650.00 – 12,850.00"
SEC Yield ,—
12-Month Yield ,4.02%
Premium ,—
Expense Ratio,0.330%
Total Assets,34.9 Bil
