,Values
NAV,"9,942.01"
Open Price,"9,850.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"41.0 / 3,119.0"
Day Range,"9,850.00 – 9,905.00"
Year Range,"9,800.00 – 12,955.00"
SEC Yield ,—
12-Month Yield ,1.48%
Premium ,—
Expense Ratio,0.440%
Total Assets,4.2 Bil
