,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-16.56,0.22
Fund (NAV),—,—,—,—,—,—,—,—,—,-16.46,0.79
+/ Category (NAV),—,—,—,—,—,—,—,—,—,0.21,5.66
+/- Index (Price),—,—,—,—,—,—,—,—,—,1.07,-0.28
Percentile Rank,—,—,—,—,—,—,—,—,—,36,4
# of Funds in Category,—,—,—,—,—,—,—,—,"2,058","2,015","2,284"
