,Values
NAV,"8,341.59"
Open Price,"8,280.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"16,140.0 / 25,693.4"
Day Range,"8,280.00 – 8,295.00"
Year Range,"7,915.00 – 9,495.00"
SEC Yield ,—
12-Month Yield ,1.83%
Premium ,—
Expense Ratio,0.380%
Total Assets,12.5 Bil
