Sectors,Fund %,Category %
Basic Materials,11.01,8.70
Consumer Cyclical,12.30,13.65
Financial Services,9.97,11.56
Real Estate,0.13,0.29
Communication Services,4.73,2.34
Energy,4.09,1.96
Industrials,7.74,10.46
Technology,33.21,38.20
Consumer Defensive,7.06,6.64
Healthcare,8.72,4.97
Utilities,1.04,1.23
