,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,91.62,0.00,91.62,95.78,99.99
Bonds,0.00,0.00,0.00,0.20,0.00
Other,0.00,0.00,0.00,0.80,0.00
Cash,0.23,2.03,2.26,3.21,0.00
Not Classified,8.15,0.00,8.15,1.64,0.01
