,Fund,Cat. Average,Index
Price/Earnings ,8.22,11.02,12.13
Price/Book ,0.62,0.84,0.86
Price/Sales ,0.33,0.53,0.65
Price/Cash Flow ,2.34,3.46,3.66
Dividend Yield % ,3.22,3.08,3.48
Long-Term Earnings % ,14.02,10.07,3.69
Historical Earnings % ,1.60,15.26,14.88
Sales Growth % ,4.57,11.25,4.89
Cash-Flow Growth % ,-9.67,16.83,15.05
Book-Value Growth % ,4.97,10.86,8.56
