,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.98,1.57,16.41,9.16,4.47,20.74,—,—,—,—,—
Total Return % (NAV),-2.37,-1.85,14.12,9.60,2.89,21.51,—,—,—,—,-4.85
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
