,Values
NAV,"8,657.61"
Open Price,"8,835.00"
Bid / Ask / Spread,"8,700.00 / 8,740.00 / 0.46%"
Volume / Avg,1.7 Mil / 1.5 Mil
Day Range,"8,750.00 – 8,900.00"
Year Range,"6,565.00 – 8,940.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.110%
Total Assets,98.7 Bil
