,Fund,Cat. Average,Index
Price/Earnings ,9.03,14.09,—
Price/Book ,0.88,1.42,—
Price/Sales ,0.58,0.92,—
Price/Cash Flow ,3.67,5.44,—
Dividend Yield % ,3.03,3.83,—
Long-Term Earnings % ,13.62,10.01,—
Historical Earnings % ,13.61,10.36,—
Sales Growth % ,2.37,-18.92,—
Cash-Flow Growth % ,8.81,10.89,—
Book-Value Growth % ,6.36,-18.73,—
