,Values
Sustainability Rate,Low
Percent Rank in Global Category,98%
Historical Sustainability Score,35.17
Global Category,Industrials Sector Equity
Portfolio ESG,41.20
Controversy Deduction,5.90
Sustainability Score,35.30
Sustainability Mandate,No
