,Fund,Cat. Average,Index
Price/Earnings ,13.07,13.31,—
Price/Book ,0.89,0.99,—
Price/Sales ,0.52,0.52,—
Price/Cash Flow ,1.99,3.85,—
Dividend Yield % ,0.50,2.16,—
Long-Term Earnings % ,12.65,15.19,—
Historical Earnings % ,-10.86,35.81,—
Sales Growth % ,-30.57,2.99,—
Cash-Flow Growth % ,-5.99,2.81,—
Book-Value Growth % ,-13.78,1.55,—
