,Values
NAV,"2,556.17"
Open Price,"2,525.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"79,395.0 / 45,770.2"
Day Range,"2,525.00 – 2,550.00"
Year Range,"2,445.00 – 3,740.00"
SEC Yield ,—
12-Month Yield ,0.72%
Premium ,—
Expense Ratio,0.440%
Total Assets,11.7 Bil
