,Values
NAV,"101,296.02"
Open Price,"101,315.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"7,314.0 / 9,988.3"
Day Range,"101,305.00 – 101,315.00"
Year Range,"100,015.00 – 101,795.00"
SEC Yield ,—
12-Month Yield ,1.76%
Premium ,—
Expense Ratio,0.170%
Total Assets,888.6 Bil
