,Fund,Cat. Average,Index
Price/Earnings ,18.21,10.08,10.07
Price/Book ,2.67,1.04,0.93
Price/Sales ,2.07,0.61,0.40
Price/Cash Flow ,9.02,4.44,2.91
Dividend Yield % ,0.63,1.71,2.01
Long-Term Earnings % ,25.29,9.55,10.86
Historical Earnings % ,4.64,2.73,0.53
Sales Growth % ,-2.96,-1.44,-3.08
Cash-Flow Growth % ,-22.72,-10.31,-9.25
Book-Value Growth % ,9.43,6.21,2.39
