,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.47,3.85,-16.26,-24.39,-28.06,—,—,—,—,—,—
Total Return % (NAV),0.23,2.73,-14.91,-25.37,-27.08,—,—,—,—,—,-31.18
+/- Category (NAV),0.17,0.83,-5.23,-11.84,-17.65,—,—,—,—,—,—
+/- Index (NAV),0.29,1.83,-4.41,-9.49,-12.02,—,—,—,—,—,—
