,Values
NAV,"8,572.50"
Open Price,"8,530.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"10,527.0 / 2,814.7"
Day Range,"8,470.00 – 8,580.00"
Year Range,"7,890.00 – 14,390.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.240%
Total Assets,38.7 Bil
