,Values
NAV,"9,663.87"
Open Price,"9,710.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"6,328.0 / 13,727.8"
Day Range,"9,620.00 – 9,710.00"
Year Range,"8,460.00 – 10,280.00"
SEC Yield ,—
12-Month Yield ,5.86%
Premium ,—
Expense Ratio,1.950%
Total Assets,17.4 Bil
