,Fund,Cat. Average,Index
Price/Earnings ,—,18.61,—
Price/Book ,—,2.88,—
Price/Sales ,—,1.98,—
Price/Cash Flow ,—,9.20,—
Dividend Yield % ,—,1.69,—
Long-Term Earnings % ,—,10.42,—
Historical Earnings % ,—,8.99,—
Sales Growth % ,—,5.87,—
Cash-Flow Growth % ,—,5.20,—
Book-Value Growth % ,—,9.23,—
