,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),2.13,2.13,4.92,-1.03,-13.52,-2.68,-9.77,—,—,—,—
Total Return % (NAV),-1.75,-1.91,2.37,-4.35,-15.14,-4.72,-10.42,—,—,—,-9.84
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
