,Values
NAV,"6,601.70"
Open Price,"6,690.00"
Bid / Ask / Spread,"6,710.00 / 6,750.00 / 0.59%"
Volume / Avg,"218,058.0 / 112,825.7"
Day Range,"6,670.00 – 6,710.00"
Year Range,"6,370.00 – 8,335.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.660%
Total Assets,23.1 Bil
