,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,18.20,-19.80,7.03,-7.93,16.77
Fund (NAV),—,—,—,—,—,—,17.84,-19.76,6.84,-8.02,20.11
+/ Category (NAV),—,—,—,—,—,—,-2.69,-3.97,-18.41,-1.72,24.28
+/- Index (Price),—,—,—,—,—,—,11.29,-12.84,-14.38,-9.23,10.17
Percentile Rank,—,—,—,—,—,—,34,71,82,66,5
# of Funds in Category,—,—,—,—,—,30,45,80,93,100,118
