,Net,Short,Long,Cat.,Index
U.S.Stock,92.53,0.00,92.53,32.15,65.34
Non-U.S.Stock,5.69,0.00,5.69,56.33,34.66
Bonds,0.00,0.00,0.00,1.52,0.00
Other,0.00,0.00,0.00,1.72,0.00
Cash,1.79,0.21,2.00,18.00,0.00
Not Classified,0.00,0.00,0.00,0.01,0.00
